PID,Episode,Reward
21026,1,1138.9140426926056
21024,1,1033.915579596454
21025,1,901.823974654152
21026,2,1743.6211536083451
21024,2,1643.9666776138308
21025,2,1553.6111313978201
21026,3,1553.6509789288698
21024,3,1668.688368716832
21025,3,1657.7364991930478
21026,4,1770.3741969764199
21024,4,1606.171579339928
21025,4,1567.8097113690644
21026,5,1559.2397162462005
21024,5,1824.7496688807553
21025,5,1355.3566866399165
21024,6,1725.7284723715677
21026,6,1515.0344363964164
21025,6,1732.381617897695
21024,7,1568.531022324507
21026,7,1578.0808957012036
21025,7,1766.5453114571033
21026,8,1740.2336955383282
21024,8,1691.8622247501903
21025,8,1347.0162231220659
21026,9,1752.793903189664
21024,9,1671.2838391513774
21025,9,1697.6156023538017
21026,10,1736.076007546831
21024,10,1775.8670357201636
21025,10,1802.605596849724
21026,11,1754.3880796228768
21024,11,1635.342217774058
21025,11,1427.1555929973636
21026,12,1758.0895210170386
21024,12,1700.328509778608
21025,12,1713.5165369358967
21026,13,1688.167335240075
21024,13,1614.461422238991
21025,13,1640.9974028239567
21026,14,1747.4254729870902
21024,14,1775.2125562334934
21025,14,1645.2204681481828
21026,15,1595.7001109715488
21024,15,1778.2663826767382
21025,15,1740.4718668379287
21026,16,1792.446929444525
21024,16,1763.0303467376584
21025,16,1769.0953836347148
21026,17,1847.158925852724
21024,17,1715.9116365543841
21025,17,1747.100764732248
21026,18,1810.2196631243935
21024,18,1616.649540575224
21025,18,1795.9649085036965
21026,19,1757.4477179945993
21024,19,1677.6769643892856
21025,19,1725.7028163861034
21026,20,1835.8797739081497
21024,20,1814.872873733655
21025,20,1794.7182851598184
21026,21,1798.562347723044
21024,21,1815.8724357578478
21025,21,1759.4929598657966
21026,22,1767.5530053678583
21024,22,1723.6772888633407
21025,22,1750.5093008838996
21026,23,1717.8082928021468
21024,23,1777.7642347874007
21025,23,1731.4141132432217
21026,24,1723.8452088042693
21024,24,1797.9717174811442
21025,24,1792.2733164053136
21026,25,1805.263259729384
21024,25,1766.8956385911702
21025,25,1772.2670031802938
21026,26,1791.830736255802
21024,26,1775.8371879445633
21025,26,1850.24758306663
21026,27,1740.014366327191
21024,27,1802.4031882421293
21025,27,1730.1353145937849
21026,28,1759.2170117513363
21024,28,1766.1385901237566
21025,28,1788.79564527367
21026,29,1827.379649119584
21024,29,1776.362168941174
21025,29,1816.4717975905746
21026,30,1808.2663542418095
21024,30,1849.3332356006892
