PID,Episode,Reward
23655,1,-995.6487477526568
23652,1,-1010.3625463290764
23653,1,-1029.1777754371835
23656,1,-869.083705400398
23654,1,-1104.454338726827
23655,2,-1081.6882864398663
23653,2,-934.05311661378
23652,2,-1114.5516565460712
23654,2,-1115.488916971093
23656,2,-1210.2667844773655
23653,3,-893.8167248956097
23655,3,-1148.4885173419236
23652,3,-1029.6763476678523
23656,3,-857.6099876567458
23654,3,-1063.5047756716276
23655,4,-880.4387215723389
23652,4,-1092.384754096389
23653,4,-1124.8362744422604
23656,4,-836.2572142255171
23654,4,-894.8976424804789
23655,5,-1034.8306296540468
23652,5,-887.7406864889607
23653,5,-950.6821706432836
23656,5,-1004.4234029650876
23654,5,-777.1459024770166
23655,6,-1065.0481620273083
23653,6,-1109.429018555173
23652,6,-1228.5046084713856
23654,6,-607.0801319721936
23656,6,-1123.7769622928133
23655,7,-798.9940650217833
23653,7,-804.2111928873811
23654,7,-820.2902016292522
23652,7,-749.5241084505744
23656,7,-1188.7868390592178
23652,8,-689.102994564462
23655,8,-836.4084161255407
23653,8,-982.5266965030452
23654,8,-1200.8552554173723
23656,8,-1251.3661670233323
23652,9,-683.3211083222313
23655,9,-543.5427595182599
23653,9,-812.4144395159603
23654,9,-999.6661525751607
23656,9,-682.7945172190954
23652,10,-920.4012346207728
23655,10,-822.2926567739835
23653,10,-905.6722167695436
23654,10,-1241.3330410963613
23656,10,-568.8146747904864
23655,11,-678.1358590367936
23652,11,-929.8582081072509
23653,11,-1147.116238872441
23654,11,-1382.5630684203445
23656,11,-602.3834763639119
23655,12,-736.5667961954302
23652,12,-882.8993047230529
23653,12,-887.3589300381
23654,12,-1340.424589882541
23656,12,-420.6067660603288
23655,13,-1257.0337440631229
23653,13,-592.7196349136948
23652,13,-1241.6959681862245
23654,13,-710.2893337287703
23656,13,-837.2699699083613
23653,14,-506.66677678571574
23655,14,-1157.9394738476356
23652,14,-930.8927352043363
23654,14,-679.566295204793
23656,14,-657.1162238441693
23653,15,-494.07729446248294
23655,15,-1039.3706260126708
23652,15,-1042.4388412508633
23654,15,-725.0008643648001
23656,15,-982.3348557404577
23653,16,-807.062225926852
23655,16,-929.8241495112296
23652,16,-692.4585467102326
23654,16,-533.9414957611823
23656,16,-946.6056516177849
23653,17,-530.2633182962886
23655,17,-571.9207014374475
23654,17,-432.3990425685445
23652,17,-656.5711192447218
23656,17,-834.7210220414796
23653,18,-885.587760905761
23655,18,-591.6969260114879
23652,18,-568.4238231351959
23654,18,-509.3854937423705
23656,18,-700.3256230230139
23653,19,-920.8252588691917
23655,19,-595.2527743714619
23652,19,-659.603300664611
23654,19,-519.9507172619027
23656,19,-623.7503325285818
23653,20,-1137.0810127235877
23655,20,-566.4328701159938
23652,20,-726.6458501984134
23654,20,-523.3475646645016
23656,20,-421.79262028249434
23655,21,-586.2060625901867
23653,21,-1138.438690356618
23654,21,-642.3229109848445
23652,21,-712.175565177877
23656,21,-699.5354534126005
23655,22,-502.1019315476215
