PID,Episode,Reward
38639,1,1366.719215928333
38640,1,1094.2527900161213
38638,1,1107.822976278389
38636,1,1050.2413449760127
38637,1,1054.1627007106265
38639,2,1368.3876616331313
38639,3,1386.6909546719671
38638,2,1110.6921854320033
38640,2,1088.5454729537885
38636,2,1093.9865077046882
38637,2,1095.333596404463
38639,4,1393.1087558259255
38639,5,1390.5034942985922
38638,3,1113.4921854320035
38640,3,1091.2090802356934
38636,3,1095.3865077046887
38637,3,1093.3841114264928
38639,6,1398.5622524037315
38638,4,1109.7246726426004
38639,7,1398.5626103404845
38640,4,1092.2096497040563
38637,4,1091.8335964044622
38636,4,1091.8865077046876
38639,8,1172.6273046926515
38638,5,1114.1921854320035
38640,5,1095.4090802356943
38637,5,1088.3759905008458
38636,5,1089.086507704688
38639,9,1100.800628826651
38638,6,1113.4921854320035
38640,6,1091.2090802356931
38636,6,1096.7865077046886
38637,6,1093.9335964044622
38639,10,1393.2664476081934
38638,7,1107.4582207596882
38640,7,1086.3090802356933
38639,11,1396.5251006464784
38636,7,1097.4865077046886
38637,7,1093.2335964044626
38639,12,1389.8576247330222
38638,8,1110.6921854320037
38640,8,1096.809080235693
38636,8,1092.586507704688
38637,8,1095.333596404462
38639,13,1396.7631570678238
38638,9,1109.2921854320032
38639,14,1283.1084609038417
38640,9,1091.9090802356932
38636,9,1090.2273554856024
38637,9,1088.902792347829
38639,15,1394.7916994622847
38638,10,1114.892185432004
38639,16,1395.535183436458
38636,10,1094.686507704688
38640,10,1094.0090802356938
38637,10,1086.9335964044617
38639,17,1263.4925589447512
38638,11,1112.0921854320034
38640,11,1091.909080235694
38636,11,1096.0865077046883
38637,11,1092.5335964044623
38639,18,1397.1452755800572
38638,12,1096.3751234670578
38639,19,1394.9143241596094
38640,12,1087.1994176725311
38636,12,1092.5865077046888
38637,12,1097.4335964044617
38639,20,1250.1466045602444
38638,13,1140.3860278731559
38636,13,1064.9534570561132
38640,13,1094.7090802356931
38637,13,1088.333596404462
38639,21,1394.6053649311123
38638,14,1107.192185432003
38639,22,1306.82269690771
38640,14,1094.7090802356927
38636,14,1089.0865077046874
38637,14,1093.2335964044617
38639,23,1395.2622213491481
38638,15,1108.5921854320038
38640,15,1087.590094183786
38639,24,1396.8716240812892
38636,15,1096.7865077046886
38637,15,1093.9335964044622
38638,16,1123.251799419387
38640,16,1093.3090802356933
38639,25,1129.8742765789505
38636,16,1093.9865077046882
38637,16,1095.3335964044616
38639,26,1395.0578736442187
38638,17,1115.5921854320036
38640,17,1093.309080235694
38636,17,1095.3865077046883
38637,17,1091.1335964044613
38639,27,1326.7233854436163
38638,18,1113.492185432004
38639,28,1394.4814031821027
38640,18,1091.2090802356927
38636,18,1096.0865077046892
38637,18,1095.3335964044622
38639,29,1396.8852905557078
38638,19,1139.8568710455377
38640,19,1094.796841807793
38636,19,1093.986507704688
38637,19,1096.7335964044623
38639,30,1152.7720111467036
38638,20,1110.692185432004
38639,31,1397.9301064335712
38640,20,1091.9090802356939
38636,20,1095.086507704689
38637,20,1094.6335964044622
38638,21,1114.192185432003
38639,32,1277.3021159611112
38640,21,1093.3090802356944
38636,21,1096.0865077046885
38637,21,1090.586507704688
38638,22,1110.6921854320035
38639,33,1096.0576193875347
38640,22,1091.2090802356934
38636,22,1089.3945446319306
38637,22,1093.2335964044626
38639,34,1310.8184957416056
38638,23,1123.3059193546753
38639,35,1399.4650744598564
38636,23,1095.3865077046883
38640,23,1091.9090802356932
38637,23,1089.0335964044627
38638,24,1112.7921854320039
38639,36,1395.8849357775175
38640,24,1096.1090802356932
38636,24,1088.386507704688
38637,24,1092.5335964044625
38638,25,1109.992185432004
38639,37,1133.6682106502014
38640,25,1092.6090802356944
38636,25,1089.0865077046878
38639,38,1327.5972249602437
38637,25,1098.833596404462
38638,26,1110.692185432003
38639,39,1396.6832416069217
38640,26,1091.2090802356934
38636,26,1087.3915100375532
38637,26,1092.6335964044622
38639,40,1394.4345912345273
38638,27,1110.6921854320033
38639,41,1310.4185337936735
38640,27,1086.1032270555818
38636,27,1098.1865077046882
38637,27,1084.133596404461
38638,28,1112.0921854320034
38639,42,1099.4918362989006
38640,28,1096.809080235693
38636,28,1093.9865077046886
38638,29,1116.292185432003
38637,28,1086.9335964044626
38639,43,1116.7869853321586
38640,29,1092.6454729537882
38636,29,1091.1865077046878
38638,30,1110.692185432003
38637,29,1095.333596404463
38639,44,1119.5460804855973
38640,30,1095.4090802356932
38638,31,1122.9527167070469
38636,30,1091.8865077046878
38637,30,1094.6335964044622
38639,45,1093.9840636698782
38640,31,1095.4090802356936
38638,32,1105.0921854320027
38637,31,1095.3335964044622
38636,31,1096.786507704689
38639,46,1089.784063669878
38640,32,1097.5090802356935
38638,33,1105.470391770489
38636,32,1098.1865077046891
38637,32,1092.5335964044616
38639,47,1141.8132088565267
38638,34,1116.0492929715513
38640,33,1095.2273143113573
38636,33,1076.3354590597985
38637,33,1085.1800088702341
38639,48,1144.093557416656
38638,35,1114.1921854320033
38640,34,1083.445747358929
38636,34,1096.086507704688
38637,34,1087.9444655843465
38639,49,1145.8593061009892
38638,36,1111.3921854320038
38640,35,1091.2090802356938
38636,35,1092.5865077046885
38637,35,1093.9335964044622
38639,50,1120.9896101685526
38638,37,1112.0921854320038
38640,36,1094.7090802356934
38636,36,1095.3865077046887
38637,36,1093.9335964044622
38639,51,1098.1840636698782
38638,38,1105.0921854320036
38640,37,1092.609080235694
38636,37,1094.6865077046882
38637,37,1092.533596404462
38639,52,1126.5896101685537
38638,39,1095.919443955862
38640,38,1091.2090802356936
38636,38,1096.7865077046888
38637,38,1088.333596404462
38639,53,1123.2991384650627
38638,40,1109.2921854320036
38640,39,1094.7090802356925
38636,39,1098.1865077046887
38637,39,1090.4335964044608
38639,54,1091.184063669878
38638,41,1140.3963124989166
38640,40,1093.4562091662497
38636,40,1088.2852132052108
38637,40,1094.6335964044617
38639,55,1098.884063669878
38638,42,1110.5921854320043
38640,41,1096.8090802356933
38637,41,1089.7335964044617
38636,41,1094.6865077046896
38639,56,1092.5840636698779
38638,43,1112.0921854320034
38640,42,1091.9090802356934
38637,42,1094.6335964044622
38636,42,1095.3865077046883
38639,57,1091.1840636698778
38638,44,1113.4921854320035
38640,43,1091.9090802356934
38636,43,1093.2865077046886
38637,43,1096.7335964044628
38639,58,1090.4840636698787
38638,45,1111.3921854320029
38640,44,1093.3090802356937
38636,44,1096.7865077046883
38637,44,1092.5335964044614
38639,59,1091.884063669878
38638,46,1112.7921854320032
38640,45,1093.3090802356937
38636,45,1093.986507704688
38637,45,1096.7335964044619
38639,60,1095.3840636698783
38638,47,1109.2921854320036
38640,46,1094.009080235693
38636,46,1097.4865077046888
38637,46,1091.133596404462
38639,61,1092.5610929263355
38638,48,1109.2921854320039
38640,47,1095.4090802356939
38636,47,1052.7599311357721
38637,47,1091.8335964044613
38639,62,1093.2840636698784
38638,49,1095.9194439558619
38640,48,1090.5090802356933
38637,48,1098.833596404462
38636,48,1095.3865077046883
38639,63,1168.0821890756138
38638,50,1110.814313709961
38640,49,1092.6090802356935
38637,49,1096.7335964044619
38636,49,1093.9865077046882
38639,64,1143.2018325751305
38638,51,1111.3921854320029
38640,50,1094.0090802356945
38637,50,1094.6335964044624
38636,50,1098.1865077046884
38639,65,1145.5487790357593
38638,52,1092.5837202664184
38640,51,1096.1090802356932
38636,51,1094.686507704688
38637,51,1091.8335964044625
38639,66,1148.10183257513
38638,53,1094.221214178937
38640,52,1099.5840636698786
38637,52,1089.033596404462
38636,52,1096.7865077046886
38639,67,1155.2351304086128
38638,54,1107.8497962602978
38640,53,1085.6090802356935
38637,53,1093.8491693383326
38639,68,1143.9018325751306
38636,53,1091.886507704688
38638,55,1125.7496479168203
38640,54,1093.3090802356933
38639,69,1126.4746251647082
38637,54,1096.7335964044623
38636,54,1093.2865077046886
38638,56,1109.2921854320025
38640,55,1094.709080235694
38639,70,1095.3840636698785
38637,55,1092.033088930862
38636,55,1094.686507704689
38638,57,1100.3599917825568
38640,56,1091.9090802356934
38639,71,1094.684063669878
38637,56,1098.8335964044622
38636,56,1096.7865077046895
38638,58,1115.5921854320034
38640,57,1094.7090802356931
38639,72,1089.7882861860624
38637,57,1091.8335964044618
38636,57,1091.1865077046878
38638,59,1111.392185432003
38640,58,1096.1090802356928
38639,73,1098.8840636698783
38637,58,1098.133596404462
38636,58,1096.786507704688
38638,60,1114.1921854320035
38640,59,1097.5090802356924
38639,74,1090.4840636698777
38637,59,1094.6335964044624
38636,59,1087.6865077046873
38638,61,1110.5770997159184
38640,60,1096.8090802356926
38637,60,1096.7335964044623
38639,75,1098.1840636698782
38636,60,1096.7865077046883
38638,62,1113.518889935933
38640,61,1089.8090802356935
38637,61,1088.8335964044625
38639,76,1098.8840636698787
38636,61,1079.3095946993762
38638,63,1089.8893197931588
38640,62,1090.5090802356933
38637,62,1091.1335964044617
38639,77,1096.0840636698783
38636,62,1089.786507704688
38638,64,1093.2840636698782
38640,63,1088.4090802356939
38637,63,1091.1335964044613
38636,63,1096.0865077046888
38639,78,1091.8840636698783
38638,65,1092.5840636698783
38640,64,1094.0090802356938
38636,64,1097.4865077046884
38639,79,1094.6840636698773
38637,64,1091.8335964044616
38638,66,1090.4840636698782
38640,65,1091.2090802356938
38636,65,1093.2865077046883
38637,65,1091.1335964044617
38639,80,1092.1274420912482
38638,67,1091.8840636698783
38640,66,1090.509080235694
38636,66,1096.0865077046885
38637,66,1096.1335964044622
38639,81,1090.4840636698782
38638,68,1090.484063669878
38640,67,1096.109080235694
38636,67,1096.7865077046877
38639,82,1095.3840636698783
38637,67,1089.5667913086982
38638,69,1088.9558042174565
38640,68,1089.1090802356935
38639,83,1083.388840541766
38637,68,1089.7335964044614
38636,68,1095.386507704688
38638,70,1096.0840636698777
38640,69,1095.4090802356936
38637,69,1095.3335964044622
38639,84,1094.6840636698778
38636,69,1088.386507704687
38638,71,1093.7640070842556
38640,70,1096.8090802356926
38637,70,1086.9335964044617
38639,85,1097.4840636698777
38636,70,1091.1865077046878
38638,72,1091.1840636698782
38640,71,1087.874496579108
38636,71,1093.2865077046881
38639,86,1093.284063669878
38637,71,1085.5028940480593
38638,73,1090.4840636698777
38640,72,1084.9454729537892
38636,72,1090.4865077046884
38637,72,1093.9335964044626
