Model,Average Reward
q_learning_checkpoint_1000_17928.pkl,-398.8292847222245
q_learning_checkpoint_1000_17929.pkl,-542.6443888888871
q_learning_checkpoint_1000_17930.pkl,-558.5068607642352
q_learning_checkpoint_1000_17931.pkl,-296.56648611111217
q_learning_checkpoint_1000_17932.pkl,-407.23816765873136
q_learning_checkpoint_100_17928.pkl,-2322.1349708693883
q_learning_checkpoint_100_17929.pkl,-291.04027480158754
q_learning_checkpoint_100_17930.pkl,-245.04488492063544
q_learning_checkpoint_100_17931.pkl,-486.112766289267
q_learning_checkpoint_100_17932.pkl,-533.1646005799761
q_learning_checkpoint_150_17928.pkl,-403.56270238095374
q_learning_checkpoint_150_17929.pkl,-2815.331302565567
q_learning_checkpoint_150_17930.pkl,-534.5003218378841
q_learning_checkpoint_150_17931.pkl,-792.1969624329911
q_learning_checkpoint_150_17932.pkl,-2730.9164418290643
q_learning_checkpoint_200_17928.pkl,-2768.74461111118
q_learning_checkpoint_200_17929.pkl,-2746.6592794012186
q_learning_checkpoint_200_17930.pkl,-421.36283234127205
q_learning_checkpoint_200_17931.pkl,-2793.955183622007
q_learning_checkpoint_200_17932.pkl,-2624.9063850108623
q_learning_checkpoint_250_17928.pkl,-334.803505952382
q_learning_checkpoint_250_17929.pkl,-2746.8190668290695
q_learning_checkpoint_250_17930.pkl,-322.78400992063564
q_learning_checkpoint_250_17931.pkl,-2742.224950577264
q_learning_checkpoint_250_17932.pkl,-2848.421029900739
q_learning_checkpoint_300_17928.pkl,-365.8623105158736
q_learning_checkpoint_300_17929.pkl,-218.1911587301587
q_learning_checkpoint_300_17930.pkl,-449.64199404762184
q_learning_checkpoint_300_17931.pkl,-390.85487797619464
q_learning_checkpoint_300_17932.pkl,-531.3185376984147
q_learning_checkpoint_350_17928.pkl,-574.1135893759013
q_learning_checkpoint_350_17929.pkl,-436.9204841269857
q_learning_checkpoint_350_17930.pkl,-364.38703769841504
q_learning_checkpoint_350_17931.pkl,-615.6574879517955
q_learning_checkpoint_350_17932.pkl,-2378.9444482323147
q_learning_checkpoint_400_17928.pkl,-2794.8335874561208
q_learning_checkpoint_400_17929.pkl,-2301.504755321044
q_learning_checkpoint_400_17930.pkl,-314.87377480158875
q_learning_checkpoint_400_17931.pkl,-1700.4247709063275
q_learning_checkpoint_400_17932.pkl,-356.2177144660892
q_learning_checkpoint_450_17928.pkl,-566.4555188630815
q_learning_checkpoint_450_17929.pkl,-489.2408809523832
q_learning_checkpoint_450_17930.pkl,-299.7826825396833
q_learning_checkpoint_450_17931.pkl,-2772.2839643967836
q_learning_checkpoint_450_17932.pkl,-262.40948412698435
q_learning_checkpoint_500_17928.pkl,-458.9484553571423
q_learning_checkpoint_500_17929.pkl,-2774.85805537525
q_learning_checkpoint_500_17930.pkl,-417.8332718253997
q_learning_checkpoint_500_17931.pkl,-2783.0227176921017
q_learning_checkpoint_500_17932.pkl,-3244.263638400163
q_learning_checkpoint_50_17928.pkl,-1710.554664823684
q_learning_checkpoint_50_17929.pkl,-421.30224702381145
q_learning_checkpoint_50_17930.pkl,-2668.6488792388654
q_learning_checkpoint_50_17931.pkl,-429.15585858586184
q_learning_checkpoint_50_17932.pkl,-642.4747010281354
